time,15cm,15cm_vel,20cm,20cm_vel,25cm,25cm_vel,30cm,30cm_vel,35cm,35cm_vel
5.2,-0.005,-0.523185185,0.016,-0.654962963,0.029466667,-0.80337037,0.0214,-0.948407407,0.094666667,-0.851851852
5.25,-0.0318,-0.484666667,-0.0188,-0.648666667,-0.0136,-0.811518519,-0.0288,-0.934074074,0.045933333,-0.977592593
5.3,-0.055333333,-0.398777778,-0.051533333,-0.576037037,-0.054866667,-0.739222222,-0.075733333,-0.826444444,-0.006866667,-1.007037037
5.35,-0.073333333,-0.272111111,-0.0788,-0.444407407,-0.090466667,-0.593111111,-0.1148,-0.63537037,-0.0588,-0.935407407
5.4,-0.0836,-0.118851852,-0.0976,-0.270962963,-0.116533333,-0.388296296,-0.141666667,-0.383518519,-0.104133333,-0.770592593
5.45,-0.0856,0.044555556,-0.1068,-0.073777778,-0.130733333,-0.146925926,-0.154533333,-0.096518519,-0.138933333,-0.529
5.5,-0.079,0.203481481,-0.105333333,0.131074074,-0.131733333,0.107148148,-0.151666667,0.198518519,-0.159066667,-0.236444444
5.55,-0.064333333,0.339851852,-0.093133333,0.321703704,-0.119533333,0.348555556,-0.133733333,0.470222222,-0.163333333,0.075555556
5.6,-0.043533333,0.439777778,-0.071733333,0.477185185,-0.095333333,0.551740741,-0.102666667,0.692444444,-0.151066667,0.376481481
5.65,-0.018666667,0.496296296,-0.043466667,0.58362963,-0.062,0.696592593,-0.061666667,0.843777778,-0.124,0.635555556
5.7,0.008133333,0.502037037,-0.010933333,0.62962963,-0.022933333,0.771851852,-0.014866667,0.909333333,-0.084933333,0.829518519
5.75,0.0336,0.456666667,0.021933333,0.613740741,0.0182,0.770666667,0.032866667,0.884148148,-0.037666667,0.938740741
5.8,0.055533333,0.367,0.0528,0.537962963,0.057333333,0.690518519,0.077133333,0.769555556,0.012733333,0.953148148
5.85,0.071733333,0.241259259,0.078,0.406407407,0.09,0.541518519,0.112866667,0.578740741,0.0614,0.872814815
5.9,0.080666667,0.091037037,0.095,0.235407407,0.113466667,0.341518519,0.1372,0.332518519,0.103466667,0.705666667
5.95,0.081133333,-0.066814815,0.102466667,0.041444444,0.125533333,0.107703704,0.147333333,0.05562963,0.134866667,0.466962963
6,0.0736,-0.215592593,0.0992,-0.154148148,0.1246,-0.135037037,0.142866667,-0.223851852,0.151933333,0.183925926
6.05,0.058666667,-0.341555556,0.086266667,-0.330962963,0.111333333,-0.361037037,0.124,-0.479296296,0.153733333,-0.112185185
6.1,0.038066667,-0.432703704,0.0648,-0.474407407,0.087,-0.549185185,0.092866667,-0.683518519,0.140066667,-0.392555556
6.15,0.013666667,-0.480222222,0.036933333,-0.569851852,0.054133333,-0.680185185,0.052933333,-0.819074074,0.112866667,-0.631888889
6.2,-0.011933333,-0.47862963,0.005466667,-0.607,0.0162,-0.741814815,0.007666667,-0.871777778,0.074333333,-0.807222222
6.25,-0.036133333,-0.428777778,-0.026266667,-0.581888889,-0.023,-0.729148148,-0.0378,-0.835740741,0.028866667,-0.900481481
6.3,-0.0564,-0.338,-0.054933333,-0.500296296,-0.059533333,-0.644925926,-0.079266667,-0.715703704,-0.019266667,-0.903925926
6.35,-0.071266667,-0.213777778,-0.078333333,-0.368074074,-0.090133333,-0.49537037,-0.1122,-0.524777778,-0.065266667,-0.814444444
6.4,-0.078733333,-0.066703704,-0.0932,-0.199555556,-0.111066667,-0.296296296,-0.133666667,-0.284851852,-0.104,-0.642925926
6.45,-0.078133333,0.085555556,-0.099,-0.012851852,-0.120733333,-0.071518519,-0.141733333,-0.018592593,-0.132,-0.409444444
6.5,-0.069733333,0.227148148,-0.094466667,0.173481481,-0.118466667,0.159148148,-0.135533333,0.247555556,-0.146466667,-0.137777778
6.55,-0.0544,0.34362963,-0.080866667,0.340259259,-0.104133333,0.372111111,-0.115933333,0.487259259,-0.1462,0.144444444
6.6,-0.034,0.425333333,-0.059066667,0.472259259,-0.079666667,0.545555556,-0.084733333,0.675518519,-0.131266667,0.40837037
6.65,-0.0102,0.464740741,-0.031666667,0.555,-0.047266667,0.661814815,-0.0456,0.794185185,-0.103666667,0.629481481
6.7,0.0144,0.456518519,-0.001333333,0.581703704,-0.010866667,0.711666667,-0.0022,0.833814815,-0.0658,0.786962963
